fid,left,top,right,bottom,id
1686,7142.33349609375,-3562099.75,7642.33349609375,-3562599.75,1686
1689,7142.33349609375,-3563599.75,7642.33349609375,-3564099.75,1689
1692,7142.33349609375,-3565099.75,7642.33349609375,-3565599.75,1692
1696,7142.33349609375,-3567099.75,7642.33349609375,-3567599.75,1696
1699,7142.33349609375,-3568599.75,7642.33349609375,-3569099.75,1699
1706,7142.33349609375,-3572099.75,7642.33349609375,-3572599.75,1706
1708,7142.33349609375,-3573099.75,7642.33349609375,-3573599.75,1708
1709,7142.33349609375,-3573599.75,7642.33349609375,-3574099.75,1709
1713,7142.33349609375,-3575599.75,7642.33349609375,-3576099.75,1713
1719,7142.33349609375,-3578599.75,7642.33349609375,-3579099.75,1719
1720,7142.33349609375,-3579099.75,7642.33349609375,-3579599.75,1720
1722,7142.33349609375,-3580099.75,7642.33349609375,-3580599.75,1722
1724,7142.33349609375,-3581099.75,7642.33349609375,-3581599.75,1724
1725,7142.33349609375,-3581599.75,7642.33349609375,-3582099.75,1725
1726,7142.33349609375,-3582099.75,7642.33349609375,-3582599.75,1726
1729,7142.33349609375,-3583599.75,7642.33349609375,-3584099.75,1729
1731,7142.33349609375,-3584599.75,7642.33349609375,-3585099.75,1731
1733,7142.33349609375,-3585599.75,7642.33349609375,-3586099.75,1733
1738,7142.33349609375,-3588099.75,7642.33349609375,-3588599.75,1738
1739,7142.33349609375,-3588599.75,7642.33349609375,-3589099.75,1739
1746,7142.33349609375,-3592099.75,7642.33349609375,-3592599.75,1746
1753,7142.33349609375,-3595599.75,7642.33349609375,-3596099.75,1753
1776,7642.33349609375,-3558099.75,8142.33349609375,-3558599.75,1776
